gu_code,법정동명,폐지여부
11110,서울특별시 종로구,존재
11140,서울특별시 중구,존재
11170,서울특별시 용산구,존재
11200,서울특별시 성동구,존재
11215,서울특별시 광진구,존재
11230,서울특별시 동대문구,존재
11260,서울특별시 중랑구,존재
11290,서울특별시 성북구,존재
11305,서울특별시 강북구,존재
11320,서울특별시 도봉구,존재
11350,서울특별시 노원구,존재
11380,서울특별시 은평구,존재
11410,서울특별시 서대문구,존재
11440,서울특별시 마포구,존재
11470,서울특별시 양천구,존재
11500,서울특별시 강서구,존재
11530,서울특별시 구로구,존재
11545,서울특별시 금천구,존재
11560,서울특별시 영등포구,존재
11590,서울특별시 동작구,존재
11620,서울특별시 관악구,존재
11650,서울특별시 서초구,존재
11680,서울특별시 강남구,존재
11710,서울특별시 송파구,존재
11740,서울특별시 강동구,존재
26110,부산광역시 중구,존재
26140,부산광역시 서구,존재
26170,부산광역시 동구,존재
26200,부산광역시 영도구,존재
26230,부산광역시 부산진구,존재
26260,부산광역시 동래구,존재
26290,부산광역시 남구,존재
26320,부산광역시 북구,존재
26350,부산광역시 해운대구,존재
26380,부산광역시 사하구,존재
26410,부산광역시 금정구,존재
26440,부산광역시 강서구,존재
26470,부산광역시 연제구,존재
26500,부산광역시 수영구,존재
26530,부산광역시 사상구,존재
26710,부산광역시 기장군,존재
27110,대구광역시 중구,존재
27140,대구광역시 동구,존재
27170,대구광역시 서구,존재
27200,대구광역시 남구,존재
27230,대구광역시 북구,존재
27260,대구광역시 수성구,존재
27290,대구광역시 달서구,존재
27710,대구광역시 달성군,존재
28110,인천광역시 중구,존재
28140,인천광역시 동구,존재
28177,인천광역시 미추홀구,존재
28185,인천광역시 연수구,존재
28200,인천광역시 남동구,존재
28237,인천광역시 부평구,존재
28245,인천광역시 계양구,존재
28260,인천광역시 서구,존재
28710,인천광역시 강화군,존재
28720,인천광역시 옹진군,존재
29110,광주광역시 동구,존재
29140,광주광역시 서구,존재
29155,광주광역시 남구,존재
29170,광주광역시 북구,존재
29200,광주광역시 광산구,존재
30110,대전광역시 동구,존재
30140,대전광역시 중구,존재
30170,대전광역시 서구,존재
30200,대전광역시 유성구,존재
30230,대전광역시 대덕구,존재
31110,울산광역시 중구,존재
31140,울산광역시 남구,존재
31170,울산광역시 동구,존재
31200,울산광역시 북구,존재
31710,울산광역시 울주군,존재
36110,세종특별자치시,존재
41111,경기도 수원시 장안구,존재
41113,경기도 수원시 권선구,존재
41115,경기도 수원시 팔달구,존재
41117,경기도 수원시 영통구,존재
41131,경기도 성남시 수정구,존재
41133,경기도 성남시 중원구,존재
41135,경기도 성남시 분당구,존재
41150,경기도 의정부시,존재
41171,경기도 안양시 만안구,존재
41173,경기도 안양시 동안구,존재
41190,경기도 부천시,존재
41210,경기도 광명시,존재
41220,경기도 평택시,존재
41250,경기도 동두천시,존재
41271,경기도 안산시 상록구,존재
41273,경기도 안산시 단원구,존재
41281,경기도 고양시 덕양구,존재
41285,경기도 고양시 일산동구,존재
41287,경기도 고양시 일산서구,존재
41290,경기도 과천시,존재
41310,경기도 구리시,존재
41360,경기도 남양주시,존재
41370,경기도 오산시,존재
41390,경기도 시흥시,존재
41410,경기도 군포시,존재
41430,경기도 의왕시,존재
41450,경기도 하남시,존재
41461,경기도 용인시 처인구,존재
41463,경기도 용인시 기흥구,존재
41465,경기도 용인시 수지구,존재
41480,경기도 파주시,존재
41500,경기도 이천시,존재
41550,경기도 안성시,존재
41570,경기도 김포시,존재
41590,경기도 화성시,존재
41610,경기도 광주시,존재
